qname	qlength	qstart	qend	strand	tname	tlength	tstart	tend	divergence	mapq	attributes
1	1238593	224928	225030	+	111512	916	541	643	0.0294	60	mm:3;ins:0,0;del:0,0;score:87
17	150032	3585	4279	+	886291	694	0	694	0.0000	60	mm:0;ins:0,0;del:0,0;score:694
8	284015	203249	204469	+	916432	1220	0	1220	0.0000	60	mm:0;ins:0,0;del:0,0;score:1220
2	676873	359924	363062	-	1244886	3138	0	3138	0.0000	60	mm:0;ins:0,0;del:0,0;score:3138
8	284015	5722	6303	+	1245673	581	0	581	0.0000	60	mm:0;ins:0,0;del:0,0;score:581
6	591782	320490	321237	+	1393037	747	0	747	0.0000	60	mm:0;ins:0,0;del:0,0;score:747
6	591782	123581	124127	+	1559777	546	0	546	0.0000	60	mm:0;ins:0,0;del:0,0;score:546
5	308816	160794	161303	-	2102305	509	0	509	0.0000	60	mm:0;ins:0,0;del:0,0;score:509
12	131948	56952	57807	+	2230882	855	0	855	0.0000	60	mm:0;ins:0,0;del:0,0;score:855
1	1238593	311400	311508	-	2251901	753	645	753	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
21	33754	16420	17342	+	2778672	922	0	922	0.0000	60	mm:0;ins:0,0;del:0,0;score:922
11	237718	69541	70148	-	2890996	607	0	607	0.0000	60	mm:0;ins:0,0;del:0,0;score:607
2	676873	216832	217813	+	4303872	981	0	981	0.0000	60	mm:0;ins:0,0;del:0,0;score:981
3	369480	347662	348523	+	4345765	861	0	861	0.0000	60	mm:0;ins:0,0;del:0,0;score:861
2	676873	491739	492015	+	4354901	1019	1	277	0.0435	60	mm:12;ins:0,0;del:0,0;score:216
9	183372	59335	60033	-	4355667	698	0	698	0.0000	60	mm:0;ins:0,0;del:0,0;score:698
13	131654	25145	28407	+	4506967	3262	0	3262	0.0000	60	mm:0;ins:0,0;del:0,0;score:3262
7	474387	287003	287247	-	4651217	569	287	531	0.0328	60	mm:8;ins:0,0;del:0,0;score:204
7	474387	208730	210535	+	5427499	1805	0	1805	0.0000	60	mm:0;ins:0,0;del:0,0;score:1805
