n	nm	identity	file
6426859	442931	0.931	pg29-plastid.pg29-scaffolds.sort.bam
8407	1039	0.876	pg29-plastid.pg29mt-scaffolds.sort.bam
144671	9980	0.931	pg29-scaffolds.pg29-plastid.sort.bam
5916725	160811	0.973	pg29-scaffolds.pg29mt-scaffolds.sort.bam
8870	1215	0.863	pg29mt-scaffolds.pg29-plastid.sort.bam
35076978	2918227	0.917	pg29mt-scaffolds.pg29-scaffolds.sort.bam
